"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"150",2021,"Buhiga",11,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"151",2021,"Buhiga",14,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"152",2021,"Buhiga",7,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"153",2021,"Buhiga",37,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"154",2021,"Bururi",43,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"155",2021,"Bururi",20,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"156",2021,"Bururi",18,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"157",2021,"Bururi",39,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"158",2021,"Bururi",50,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"159",2021,"Bururi",26,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"160",2021,"Bururi",27,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"161",2021,"Bururi",46,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"162",2021,"Bururi",33,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"163",2021,"Bururi",6,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"164",2021,"Bururi",12,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"165",2021,"Bururi",37,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"166",2021,"Bururi",19,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"167",2021,"Bururi",11,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"168",2021,"Bururi",13,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"169",2021,"Bururi",51,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"170",2021,"Bururi",17,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"171",2021,"Bururi",32,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"172",2021,"Bururi",8,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"173",2021,"Bururi",23,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"174",2021,"Bururi",40,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"175",2021,"Bururi",49,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"176",2021,"Bururi",29,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"177",2021,"Bururi",44,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"178",2021,"Bururi",36,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"179",2021,"Bururi",1,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"180",2021,"Bururi",9,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"181",2021,"Bururi",34,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"182",2021,"Bururi",14,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"183",2021,"Bururi",24,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"184",2021,"Bururi",31,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"185",2021,"Bururi",45,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"186",2021,"Bururi",2,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"187",2021,"Bururi",25,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"188",2021,"Bururi",38,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"189",2021,"Bururi",7,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"190",2021,"Bururi",5,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"191",2021,"Bururi",15,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"192",2021,"Bururi",22,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"193",2021,"Bururi",10,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"194",2021,"Bururi",21,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"195",2021,"Bururi",16,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"196",2021,"Bururi",35,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"197",2021,"Bururi",48,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"198",2021,"Bururi",30,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"199",2021,"Bururi",47,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"200",2021,"Bururi",42,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"201",2021,"Bururi",28,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"202",2021,"Bururi",4,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"203",2021,"Bururi",3,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"204",2021,"Bururi",41,0.6114771,0,-1,0.55032939,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"205",2021,"Busoni",37,0.899968,0,-1,0.8099712,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"206",2021,"Busoni",33,0.899968,0,-1,0.8099712,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"207",2021,"Busoni",23,0.899968,0,-1,0.8099712,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
