"","year","admin_name","seed","nets_per_capita","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"4446",2022,"Nyabikere",9,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4447",2022,"Nyabikere",10,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4448",2022,"Nyabikere",11,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4449",2022,"Nyabikere",12,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4450",2022,"Nyabikere",13,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4451",2022,"Nyabikere",14,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4452",2022,"Nyabikere",15,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4453",2022,"Nyabikere",16,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4454",2022,"Nyabikere",17,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4455",2022,"Nyabikere",18,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4456",2022,"Nyabikere",19,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4457",2022,"Nyabikere",20,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4458",2022,"Nyabikere",21,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4459",2022,"Nyabikere",22,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4460",2022,"Nyabikere",23,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4461",2022,"Nyabikere",24,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4462",2022,"Nyabikere",25,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4463",2022,"Nyabikere",26,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4464",2022,"Nyabikere",27,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4465",2022,"Nyabikere",28,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4466",2022,"Nyabikere",29,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4467",2022,"Nyabikere",30,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4468",2022,"Nyabikere",31,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4469",2022,"Nyabikere",32,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4470",2022,"Nyabikere",33,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4471",2022,"Nyabikere",34,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4472",2022,"Nyabikere",35,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4473",2022,"Nyabikere",36,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4474",2022,"Nyabikere",37,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4475",2022,"Nyabikere",38,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4476",2022,"Nyabikere",39,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4477",2022,"Nyabikere",40,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4478",2022,"Nyabikere",41,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4479",2022,"Nyabikere",42,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4480",2022,"Nyabikere",43,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4481",2022,"Nyabikere",44,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4482",2022,"Nyabikere",45,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4483",2022,"Nyabikere",46,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4484",2022,"Nyabikere",47,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4485",2022,"Nyabikere",48,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4486",2022,"Nyabikere",49,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4487",2022,"Nyabikere",50,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4488",2022,"Nyabikere",51,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4489",2025,"Nyabikere",1,0.544198839,1749,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
