year,admin_name,seed,nets_per_capita,dist_date,simday,itn_u5,itn_5_10,itn_10_15,itn_15_20,itn_o20,net_life_lognormal_mu,net_life_lognormal_sigma,bio_mortality,block_initial,kill_initial,indoor_net_protection
2010,Bugarama,25,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.742399403,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,26,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.918797448,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,27,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.925991037,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,28,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.853360044,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,29,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.822590869,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,30,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,6.027406658,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,31,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.901104591,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,32,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.856745599,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,33,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.847876889,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,34,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.830680314,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,35,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.831025723,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,36,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.79598996,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,37,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.897049304,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,38,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.903636553,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,39,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.924796197,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,40,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.983345802,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,41,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.908681355,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,42,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.94389983,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,43,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.938170352,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,44,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.850847514,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,45,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.903564341,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,46,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.816746874,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,47,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.888791043,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,48,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.90698719,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,49,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.707363972,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,50,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.934494018,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,51,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.827744323,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Buhiga,1,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.892646209,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,2,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.806234975,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,3,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.917664346,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,4,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.970402738,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,5,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.880722895,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,6,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.905488976,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,7,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,6.015101142,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,8,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.877182135,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,9,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.893540132,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,10,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.801226207,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,11,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.884071006,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,12,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.903258233,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,13,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.853813538,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,14,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.883897999,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,15,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.91964738,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,16,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.682639751,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,17,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.870505073,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,18,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.794010805,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,19,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.898278228,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,20,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.916816913,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,21,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.853097056,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,22,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.903028643,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,23,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.873040661,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,24,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.925287268,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,25,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.742399403,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,26,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.918797448,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,27,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.925991037,0.8,0.929504256,0.849193064,0.505102839,0.75
2010,Buhiga,28,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.853360044,0.8,0.929504256,0.91252173,0.69409414,0.75
2010,Buhiga,29,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.822590869,0.8,0.929504256,0.731785169,0.505102839,0.75
2010,Buhiga,30,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,6.027406658,0.8,0.929504256,0.790211564,0.69409414,0.75
2010,Buhiga,31,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.901104591,0.8,0.929504256,0.849193064,0.505102839,0.75
